x,y,z,execution_time,distance,joint_delta_6ea,joint_delta_3ea,joint1_delta,joint2_delta,joint3_delta,joint4_delta,joint5_delta,joint6_delta,average_node
-0.0753846156841018,-0.1946050176002147,0.3810468491077556,0.5400410677633992,0.48958427199079363,0.44436530661899454,0.45515576152891474,0.6581910183841577,0.1673632348438759,0.2847299124112274,0.009993557450833142,0.0005139329987136916,0.010354538714706362,0.35008665511265163
-0.2979772209858408,0.1279935506549668,0.3750476920777444,0.6509240246428658,0.7307929383493974,0.5267476754160021,0.5287106604790907,0.9286304021036771,0.14971522460318418,0.04900285518737345,0.03558962532619846,0.0014156734464651009,0.040434636101150334,0.4072790294627383
0.1819270126650741,0.1307398089018031,0.1810971198004019,0.2556468172470181,0.3543186310827775,0.2731631821097157,0.27093244600247096,0.21166877252281663,0.12962822564051532,0.5271989563695632,0.04065238748569659,0.0021718837170574003,0.04562888786858795,0.21663778162911612
0.0648828894244123,-0.0996145050038408,0.2020965402134129,0.4476386036964298,0.3893044743897032,0.45081322194118745,0.4554655530136,0.3364950325262924,0.23263890566219372,0.822865032982019,0.026251740116764996,0.0022053399003430104,0.02983849587173343,0.35008665511265163
0.4015593603726325,0.0576198604778693,0.1198153358983058,0.3059548254613067,0.4186893648264353,0.23450483486610582,0.22585667399161452,0.048543125209460185,0.6182674942682241,0.15754894593080399,0.05738339878658305,0.0010322384628029372,0.06423375335860924,0.18197573656845756
0.0510881367128131,-0.2614188179447936,0.5579456190404111,0.4445585215610136,0.44526327161901375,0.478717707172275,0.47901390860400844,0.46696791634340334,0.2250555273002196,0.666690048536845,0.03817277118415977,0.0039672279238514565,0.044481007351359285,0.3708838821490468
0.0502598181085341,0.1412155302495391,0.2664276261844341,0.35831622176487676,0.37066634931882153,0.4594108437702883,0.46452923532094464,0.41645120021749094,0.27378867292838144,0.6597157768137549,0.024976147519733465,0.0006451293654500037,0.029228896712160255,0.35528596187175043
0.3432819516761572,0.2332437527251326,0.4037975263468328,0.47330595482589455,0.2941808180450689,0.4642595732960003,0.4657756953921692,0.2025152963337439,0.5510106015001924,0.7720390067461061,0.034950878216258925,0.0015231505147661438,0.040252957326367446,0.3570190641247834
0.0028084193383714,0.1137852416652297,0.6319203500924657,0.47843942505208625,0.43114033295728305,0.5069367755602355,0.519321104801648,0.5244248202304315,0.09599955911116907,0.8358471356042184,0.004469262642954631,0.023961822504197736,0.005710571253280936,0.4038128249566725
0.2703493668262435,-0.1680835019641158,0.5073553672390793,0.32443531827529815,0.2142390849104735,0.31474176685990246,0.3121009035705427,0.18813939546133543,0.26736592128846376,0.5677520090077234,0.04211671299328266,0.004522179284525868,0.048456014812698074,0.24263431542461006
-0.1101898283898977,-0.1488255462700863,0.428335204012554,0.6078028747455445,0.5008097747118919,0.490849219832006,0.49899505604484146,0.7494801905915377,0.2194306541149059,0.20934016339593997,0.017788792113081976,0.0010590843121059438,0.02044294740941905,0.37435008665511266
0.429970958944584,-0.0143401541505738,0.3215167040279426,0.26694045174553627,0.22804774303879985,0.2629563039336573,0.2620820976088435,0.01069333468224653,0.5049552090924526,0.4754734145713483,0.03603742170146131,0.0037517381761746787,0.04158222550789271,0.20103986135181978
